,date,team,player,injury,duration,notes,long_name,position
0,12/9/10,ANA,Aaron Voros,head,55,placed on IR with broken left orbital bone,Ducks,RW
1,3/29/10,ANA,Aaron Ward,ll,59,foot injury (DTD),Ducks,RW
2,10/9/10,ANA,Andy Sutton,la,43,placed on IR with broken right thumb,Ducks,RW
4,10/26/14,ANA,Ben Lovejoy,la,47,placed on IR with hand injury,Ducks,G
6,10/5/08,ANA,Brad Larsen,torso,31,placed on IR with sports hernia,Ducks,LW
7,3/2/07,ANA,Brad May,torso,1,lower body injury (DTD),Ducks,LW
8,3/16/07,ANA,Brad May,ul,14,groin injury (DTD),Ducks,LW
9,12/18/07,ANA,Brad May,ll,8,broken right foot (out indefinitely),Ducks,LW
10,10/31/08,ANA,Brad May,ul,44,sprained knee (DTD),Ducks,LW
11,3/11/13,ANA,Brad Staubitz,torso,5,placed on IR with facial laceration,Ducks,RW
12,4/3/16,ANA,Brandon Pirri,torso,365,upper body injury (out for season),Ducks,C
13,12/31/08,ANA,Bret Hedican,torso,59,upper body injury (DTD),Ducks,LW
16,1/15/09,ANA,Brett Festerling,ul,7,knee injury (DTD),Ducks,C
17,12/5/07,ANA,Brian Sutherby,ul,359,groin injury (DTD),Ducks,C
18,1/7/14,ANA,Bryan Allen,torso,10,placed on IR with lower body injury,Ducks,LW
22,10/14/14,ANA,Bryan Allen,torso,24,placed on IR with lower body injury,Ducks,LW
26,11/26/13,ANA,Bryan Allen,torso,317,lower body injury (DTD),Ducks,LW
30,2/3/13,ANA,Cam Fowler,torso,21,placed on IR with upper body injury,Ducks,D
35,12/28/15,ANA,Cam Fowler,ul,36,placed on IR with sprained knee,Ducks,D
40,10/18/10,ANA,Cam Fowler,head,14,broken nose / stiff neck (DTD),Ducks,D
45,4/11/13,ANA,Cam Fowler,torso,8,lower body injury (DTD),Ducks,D
50,3/15/14,ANA,Cam Fowler,ul,5,sprained MCL in knee (DTD),Ducks,D
55,11/9/14,ANA,Cam Fowler,torso,50,lower body injury (DTD),Ducks,D
60,5/13/07,ANA,Chris Kunitz,la,7,broken right hand (DTD),Ducks,LW
61,6/4/07,ANA,Chris Kunitz,torso,32,abdominal injury (DTD),Ducks,LW
62,3/7/07,ANA,Chris Pronger,ll,1,toe injury (out 2-3 weeks),Ducks,D
64,9/21/07,ANA,Chris Pronger,torso,9,separated shoulder (DTD),Ducks,D
66,2/27/08,ANA,Chris Pronger,head,23,jaw injury (DTD),Ducks,D
68,2/12/16,ANA,Chris Stewart,head,41,placed on IR with jaw injury,Ducks,G
70,4/20/15,ANA,Chris Wagner,torso,21,upper body injury (DTD),Ducks,C
71,10/17/15,ANA,Clayton Stoner,torso,1,placed on IR with lower body injury,Ducks,LW
75,11/25/16,ANA,Clayton Stoner,torso,9,placed on IR with lower body injury,Ducks,LW
79,12/6/14,ANA,Corey Perry,ul,25,placed on IR with knee injury,Ducks,RW
80,3/7/08,ANA,Corey Perry,ul,9,lacerated right quadriceps tendon (out 6-8 weeks),Ducks,RW
81,3/10/12,ANA,Corey Perry,torso,35,right shoulder injury (DTD),Ducks,RW
82,12/2/11,ANA,Dan Ellis,ul,4,placed on IR with groin injury,Ducks,G
83,1/7/12,ANA,Dan Ellis,ul,91,placed on IR with groin injury,Ducks,G
84,11/27/11,ANA,Dan Ellis,ul,33,groin injury (DTD),Ducks,G
85,10/24/10,ANA,Dan Sexton,head,17,broken nose (DTD),Ducks,RW
86,10/6/14,ANA,Dany Heatley,ul,22,placed on IR with groin injury,Ducks,LW
87,11/14/14,ANA,Dany Heatley,ul,31,placed on IR with groin injury,Ducks,LW
88,3/21/16,ANA,David Perron,torso,365,shoulder injury (out for season),Ducks,LW
89,1/6/12,ANA,Devante Smith-Pelly,ll,31,placed on IR with fractured left foot,Ducks,LW
90,11/15/14,ANA,Devante Smith-Pelly,torso,5,placed on IR with upper body injury,Ducks,LW
92,2/10/08,ANA,Doug Weight,torso,4,upper body injury (DTD),Ducks,C
93,11/25/07,ANA,Drew Miller,ul,43,knee injury (DTD),Ducks,LW
94,10/13/13,ANA,Dustin Penner,torso,1,lower (CBC) / upper (Y) body injury (DTD),Ducks,LW
95,10/21/13,ANA,Dustin Penner,head,3,concussion (DTD),Ducks,LW
96,1/7/14,ANA,Dustin Penner,torso,40,upper body injury (DTD),Ducks,LW
97,9/30/13,ANA,Emerson Etem,ll,10,placed on IR with leg injury,Ducks,RW
98,12/2/14,ANA,Eric Brewer,ll,58,placed on IR with fractured foot (date 12-05 per CBC),Ducks,C
100,11/22/13,ANA,Francois Beauchemin,torso,11,placed on IR with upper body injury,Ducks,G
104,11/28/14,ANA,Francois Beauchemin,la,29,placed on IR with fractured finger,Ducks,G
108,11/15/08,ANA,Francois Beauchemin,ul,14,torn ACL in left knee (out for season),Ducks,G
112,11/21/13,ANA,Francois Beauchemin,torso,10,upper body injury (DTD),Ducks,G
116,2/9/15,ANA,Frederik Andersen,head,6,placed on IR with head injury,Ducks,G
