date,long_name,player,notes,injury,team
2007-03-17,Stars,Brenden Morrow,activated from IR,activated from IR,DAL
2007-03-26,Stars,Steve Ott,activated from IR,activated from IR,DAL
2007-09-21,Stars,Mike Ribeiro,placed on IR with sprained ankle,ll,DAL
2007-10-01,Stars,Aaron Gagnon,placed on IR with ankle injury,ll,DAL
2007-10-01,Stars,Francis Wathier,placed on IR with shoulder injury,torso,DAL
2007-10-01,Stars,Vojtech Polak,placed on IR with ankle injury,ll,DAL
2007-10-10,Stars,Mike Smith,placed on IR with arm injury,ua,DAL
2007-10-10,Stars,Mike Ribeiro,activated from IR,activated from IR,DAL
2007-10-11,Stars,Aaron Gagnon,activated from IR,activated from IR,DAL
2007-10-11,Stars,Nicklas Grossman,activated from IR,activated from IR,DAL
2007-10-11,Stars,Vojtech Polak,activated from IR,activated from IR,DAL
2007-10-17,Stars,Mike Smith,activated from IR,activated from IR,DAL
2007-11-03,Stars,Brad Winchester,placed on IR with abdominal injury,torso,DAL
2007-11-16,Stars,Mattias Norstrom,placed on IR with facial injury,torso,DAL
2007-11-23,Stars,Brad Winchester,activated from IR,activated from IR,DAL
2007-12-03,Stars,Jere Lehtinen,placed on IR with sports hernia,torso,DAL
2007-12-03,Stars,Mattias Norstrom,activated from IR,activated from IR,DAL
2007-12-05,Stars,Philippe Boucher,placed on IR with surgery on shoulder,torso,DAL
2007-12-28,Stars,Brenden Morrow,placed on IR with wrist injury,la,DAL
2008-02-01,Stars,Jere Lehtinen,activated from IR,activated from IR,DAL
2008-02-07,Stars,Sergei Zubov,placed on IR with foot injury,ll,DAL
2008-02-25,Stars,Philippe Boucher,activated from IR,activated from IR,DAL
2008-04-27,Stars,Sergei Zubov,activated from IR,activated from IR,DAL
2008-09-19,Stars,Sergei Zubov,placed on IR with surgery on hip,ul,DAL
2008-10-31,Stars,Joel Lundqvist,placed on IR with shoulder injury,torso,DAL
2008-11-07,Stars,Sergei Zubov,activated from IR,activated from IR,DAL
2008-11-19,Stars,Jere Lehtinen,placed on IR with upper body injury,torso,DAL
2008-11-24,Stars,Steve Ott,placed on IR with broken right hand,la,DAL
2008-12-18,Stars,Joel Lundqvist,activated from IR,activated from IR,DAL
2008-12-18,Stars,Steve Ott,activated from IR,activated from IR,DAL
2008-12-20,Stars,Jere Lehtinen,activated from IR,activated from IR,DAL
2008-12-30,Stars,Joel Lundqvist,placed on IR with shoulder injury,torso,DAL
2008-12-30,Stars,Fabian Brunnstrom,placed on IR with foot injury,ll,DAL
2009-01-10,Stars,Joel Lundqvist,activated from IR,activated from IR,DAL
2009-01-19,Stars,Landon Wilson,placed on IR with rib injury,torso,DAL
2009-01-27,Stars,Fabian Brunnstrom,activated from IR,activated from IR,DAL
2009-02-24,Stars,Toby Petersen,placed on IR with fractured left foot,ll,DAL
2009-03-06,Stars,Landon Wilson,activated from IR,activated from IR,DAL
2009-03-24,Stars,Brad Richards,placed on IR with broken left hand,la,DAL
2009-09-25,Stars,Warren Peters,placed on IR with fractured orbital bone,head,DAL
2009-10-09,Stars,Warren Peters,activated from IR,activated from IR,DAL
2009-10-16,Stars,Steve Ott,placed on IR with strained oblique muscle,torso,DAL
2009-10-20,Stars,Mike Modano,placed on IR with bruised ribs,torso,DAL
2009-10-20,Stars,Jere Lehtinen,placed on IR with chest injury,torso,DAL
2009-10-21,Stars,Steve Ott,activated from IR,activated from IR,DAL
2009-11-04,Stars,Mike Modano,activated from IR,activated from IR,DAL
2009-11-04,Stars,Jere Lehtinen,activated from IR,activated from IR,DAL
2009-11-28,Stars,Brian Sutherby,activated from IR,activated from IR,DAL
2009-12-04,Stars,Karlis Skrastins,placed on IR with lacerated right index finger,la,DAL
2009-12-11,Stars,Karlis Skrastins,activated from IR,activated from IR,DAL
2009-12-17,Stars,Trevor Daley,placed on IR with shoulder injury,torso,DAL
2009-12-21,Stars,Mark Fistric,placed on IR with concussion,head,DAL
2009-12-28,Stars,Trevor Daley,activated from IR,activated from IR,DAL
2009-12-31,Stars,Mark Fistric,activated from IR,activated from IR,DAL
2010-01-07,Stars,Mike Ribeiro,placed on IR with throat contusion,head,DAL
2010-01-17,Stars,Nicklas Grossman,activated from IR,activated from IR,DAL
2010-01-20,Stars,Jere Lehtinen,placed on IR with upper body injury,torso,DAL
2010-01-27,Stars,Jere Lehtinen,activated from IR,activated from IR,DAL
2010-01-28,Stars,Tom Wandell,placed on IR recovering from surgery on left knee (out for season),ul,DAL
2010-02-08,Stars,Mike Ribeiro,activated from IR,activated from IR,DAL
2010-02-11,Stars,Steve Ott,placed on IR with appendectomy,torso,DAL
2010-03-02,Stars,Steve Ott,activated from IR,activated from IR,DAL
2010-03-04,Stars,Mark Fistric,activated from IR,activated from IR,DAL
2010-03-15,Stars,Mike Modano,placed on IR with appendectomy,torso,DAL
2010-04-02,Stars,Mike Modano,activated from IR,activated from IR,DAL
2010-11-26,Stars,Mark Fistric,placed on IR with lower body injury,torso,DAL
2010-12-03,Stars,Krystofer Barch,placed on IR with foot injury,ll,DAL
2010-12-08,Stars,Mark Fistric,activated from IR,activated from IR,DAL
2010-12-09,Stars,Toby Petersen,placed on IR with hand injury,la,DAL
2010-12-16,Stars,Toby Petersen,activated from IR,activated from IR,DAL
2010-12-16,Stars,Krystofer Barch,activated from IR,activated from IR,DAL
2011-01-02,Stars,Toby Petersen,placed on IR with lower body injury,torso,DAL
2011-02-02,Stars,Tom Wandell,placed on IR with shoulder injury,torso,DAL
2011-02-03,Stars,Jamie Benn,placed on IR with shoulder injury,torso,DAL
2011-02-04,Stars,Adam Burish,placed on IR with facial injury / fractured orbital bone,head,DAL
2011-02-09,Stars,Tom Wandell,activated from IR,activated from IR,DAL
2011-02-14,Stars,Raymond Sawada,placed on IR with separated shoulder / broken nose,head,DAL
2011-02-15,Stars,Toby Petersen,activated from IR,activated from IR,DAL
2011-02-22,Stars,Jamie Benn,activated from IR,activated from IR,DAL
2011-02-23,Stars,Adam Burish,activated from IR,activated from IR,DAL
2011-02-23,Stars,Krystofer Barch,activated from IR,activated from IR,DAL
2011-02-25,Stars,Raymond Sawada,activated from IR,activated from IR,DAL
2011-10-02,Stars,Adam Pardy,placed on IR with rib injury,torso,DAL
2011-10-05,Stars,Scott Glennie,placed on IR with concussion,head,DAL
2011-10-13,Stars,Scott Glennie,activated from IR,activated from IR,DAL
2011-10-14,Stars,Adam Pardy,activated from IR,activated from IR,DAL
2011-11-10,Stars,Steve Ott,placed on IR with hip injury,ul,DAL
2011-11-15,Stars,Alex Goligoski,placed on IR with broken thumb,la,DAL
2011-11-16,Stars,Adam Burish,placed on IR with broken hand,la,DAL
2011-11-17,Stars,Steve Ott,activated from IR,activated from IR,DAL
2011-11-23,Stars,Brenden Morrow,placed on IR with upper body injury,torso,DAL
2011-11-26,Stars,Kari Lehtonen,placed on IR with groin injury,ul,DAL
2011-12-08,Stars,Alex Goligoski,activated from IR,activated from IR,DAL
2011-12-08,Stars,Brenden Morrow,activated from IR,activated from IR,DAL
2011-12-20,Stars,Tomas Vincour,placed on IR with knee injury,ul,DAL
2011-12-20,Stars,Adam Burish,activated from IR,activated from IR,DAL
2011-12-28,Stars,Stephane Robidas,placed on IR with foot injury,ll,DAL
2011-12-28,Stars,Kari Lehtonen,activated from IR,activated from IR,DAL
2012-01-02,Stars,Sheldon Souray,placed on IR with ankle injury,ll,DAL
2012-01-04,Stars,Stephane Robidas,activated from IR,activated from IR,DAL
2012-01-10,Stars,Philip Larsen,placed on IR with concussion,head,DAL
2012-01-10,Stars,Sheldon Souray,activated from IR,activated from IR,DAL
2012-01-16,Stars,Mike Ribeiro,placed on IR with knee injury,ul,DAL
2012-01-17,Stars,Tomas Vincour,activated from IR,activated from IR,DAL
2012-01-19,Stars,Philip Larsen,activated from IR,activated from IR,DAL
2012-01-22,Stars,Brenden Morrow,placed on IR with neck injury,head,DAL
2012-01-22,Stars,Jamie Benn,placed on IR recovering from appendectomy,torso,DAL
2012-01-23,Stars,Mike Ribeiro,activated from IR,activated from IR,DAL
2012-01-25,Stars,Jamie Benn,activated from IR,activated from IR,DAL
2012-01-31,Stars,Brenden Morrow,activated from IR,activated from IR,DAL
2012-02-03,Stars,Brenden Morrow,placed on IR with neck injury,head,DAL
2012-02-22,Stars,Jake Dowell,placed on IR with upper body injury,torso,DAL
2012-03-08,Stars,Jake Dowell,activated from IR,activated from IR,DAL
2012-03-10,Stars,Brenden Morrow,activated from IR,activated from IR,DAL
2013-01-27,Stars,Cristopher Nilstorp,placed on IR with groin injury,ul,DAL
2013-01-28,Stars,Derek Roy,placed on IR with strained groin,ul,DAL
2013-02-02,Stars,Ray Whitney,placed on IR with fractured foot,ll,DAL
2013-02-04,Stars,Derek Roy,activated from IR,activated from IR,DAL
2013-02-04,Stars,Cristopher Nilstorp,activated from IR,activated from IR,DAL
2013-02-16,Stars,Kari Lehtonen,placed on IR with strained groin,ul,DAL
2013-02-24,Stars,Aaron Rome,placed on IR with foot injury (out for season),ll,DAL
2013-02-24,Stars,Trevor Daley,placed on IR with upper body injury,torso,DAL
2013-02-25,Stars,Trevor Daley,activated from IR,activated from IR,DAL
