date,team,player,injury,duration,notes,long_name
2010-12-09,ANA,Aaron Voros,head,55,placed on IR with broken left orbital bone,Ducks
2010-03-29,ANA,Aaron Ward,ll,foot injury (DTD),foot injury (DTD),Ducks
2010-10-09,ANA,Andy Sutton,la,43,placed on IR with broken right thumb,Ducks
2014-10-26,ANA,Ben Lovejoy,la,47,placed on IR with hand injury,Ducks
2008-10-05,ANA,Brad Larsen,torso,-1,placed on IR with sports hernia,Ducks
2007-03-02,ANA,Brad May,torso,1,lower body injury (DTD),Ducks
2007-03-16,ANA,Brad May,ul,1,groin injury (DTD),Ducks
2007-12-18,ANA,Brad May,ll,1,broken right foot (out indefinitely),Ducks
2008-10-31,ANA,Brad May,ul,44,sprained knee (DTD),Ducks
2013-03-11,ANA,Brad Staubitz,torso,5,placed on IR with facial laceration,Ducks
2016-04-03,ANA,Brandon Pirri,torso,365,upper body injury (out for season),Ducks
2008-12-31,ANA,Bret Hedican,torso,59,upper body injury (DTD),Ducks
2009-01-15,ANA,Brett Festerling,ul,knee injury (DTD),knee injury (DTD),Ducks
2007-12-05,ANA,Brian Sutherby,ul,359,groin injury (DTD),Ducks
2014-01-07,ANA,Bryan Allen,torso,10,placed on IR with lower body injury,Ducks
2014-10-14,ANA,Bryan Allen,torso,24,placed on IR with lower body injury,Ducks
2013-11-26,ANA,Bryan Allen,torso,317,lower body injury (DTD),Ducks
2013-02-03,ANA,Cam Fowler,torso,21,placed on IR with upper body injury,Ducks
2015-12-28,ANA,Cam Fowler,ul,36,placed on IR with sprained knee,Ducks
2010-10-18,ANA,Cam Fowler,head,1,broken nose / stiff neck (DTD),Ducks
2013-04-11,ANA,Cam Fowler,torso,1,lower body injury (DTD),Ducks
2014-03-15,ANA,Cam Fowler,ul,1,sprained MCL in knee (DTD),Ducks
2014-11-09,ANA,Cam Fowler,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2007-05-13,ANA,Chris Kunitz,la,1,broken right hand (DTD),Ducks
2007-06-04,ANA,Chris Kunitz,torso,abdominal injury (DTD),abdominal injury (DTD),Ducks
2007-03-07,ANA,Chris Pronger,ll,1,toe injury (out 2-3 weeks),Ducks
