long_name,player,position
Stars,Brenden Morrow,LW
Stars,Steve Ott,C
Stars,Mike Ribeiro,C
Stars,Aaron Gagnon,C
Stars,Francis Wathier,LW
Stars,Vojtech Polak,LW
Stars,Mike Smith,G
Stars,Mike Ribeiro,C
Stars,Aaron Gagnon,C
Stars,Nicklas Grossman,LW
Stars,Vojtech Polak,LW
Stars,Mike Smith,G
Stars,Brad Winchester,LW
Stars,Mattias Norstrom,LW
Stars,Brad Winchester,LW
Stars,Jere Lehtinen,RW
Stars,Mattias Norstrom,D
Stars,Philippe Boucher,D
Stars,Brenden Morrow,LW
Stars,Jere Lehtinen,RW
Stars,Sergei Zubov,G
Stars,Philippe Boucher,C
Stars,Sergei Zubov,LW
Stars,Sergei Zubov,D
Stars,Joel Lundqvist,C
Stars,Sergei Zubov,LW
Stars,Jere Lehtinen,RW
Stars,Steve Ott,C
Stars,Joel Lundqvist,C
Stars,Steve Ott,C
Stars,Jere Lehtinen,RW
Stars,Joel Lundqvist,C
Stars,Fabian Brunnstrom,LW
Stars,Joel Lundqvist,C
Stars,Landon Wilson,RW
Stars,Fabian Brunnstrom,LW
Stars,Toby Petersen,RW
Stars,Landon Wilson,RW
Stars,Brad Richards,C
Stars,Warren Peters,C
Stars,Warren Peters,C
Stars,Steve Ott,C
Stars,Mike Modano,C
Stars,Jere Lehtinen,RW
Stars,Steve Ott,C
Stars,Mike Modano,C
Stars,Jere Lehtinen,RW
Stars,Brian Sutherby,C
Stars,Karlis Skrastins,RW
Stars,Karlis Skrastins,G
Stars,Trevor Daley,G
Stars,Mark Fistric,G
Stars,Trevor Daley,RW
Stars,Mark Fistric,D
Stars,Mike Ribeiro,C
Stars,Nicklas Grossman,D
Stars,Jere Lehtinen,RW
Stars,Jere Lehtinen,RW
Stars,Tom Wandell,C
Stars,Mike Ribeiro,C
Stars,Steve Ott,C
Stars,Steve Ott,C
Stars,Mark Fistric,LW
Stars,Mike Modano,C
Stars,Mike Modano,C
Stars,Mark Fistric,RW
Stars,Krystofer Barch,RW
Stars,Mark Fistric,D
Stars,Toby Petersen,RW
Stars,Toby Petersen,RW
Stars,Krystofer Barch,RW
Stars,Toby Petersen,RW
Stars,Tom Wandell,C
Stars,Jamie Benn,LW
Stars,Adam Burish,RW
Stars,Tom Wandell,C
Stars,Raymond Sawada,RW
Stars,Toby Petersen,RW
Stars,Jamie Benn,LW
Stars,Adam Burish,RW
Stars,Krystofer Barch,RW
Stars,Raymond Sawada,RW
Stars,Adam Pardy,LW
Stars,Scott Glennie,RW
Stars,Scott Glennie,RW
Stars,Adam Pardy,D
Stars,Steve Ott,C
Stars,Alex Goligoski,G
Stars,Adam Burish,RW
Stars,Steve Ott,C
Stars,Brenden Morrow,LW
Stars,Kari Lehtonen,G
Stars,Alex Goligoski,G
Stars,Brenden Morrow,LW
Stars,Tomas Vincour,RW
Stars,Adam Burish,RW
Stars,Stephane Robidas,G
Stars,Kari Lehtonen,G
Stars,Sheldon Souray,G
Stars,Stephane Robidas,C
Stars,Philip Larsen,C
Stars,Sheldon Souray,LW
Stars,Mike Ribeiro,C
Stars,Tomas Vincour,RW
Stars,Philip Larsen,G
Stars,Brenden Morrow,LW
Stars,Jamie Benn,LW
Stars,Mike Ribeiro,C
Stars,Jamie Benn,LW
Stars,Brenden Morrow,LW
Stars,Brenden Morrow,LW
Stars,Jake Dowell,C
Stars,Jake Dowell,C
Stars,Brenden Morrow,LW
Stars,Cristopher Nilstorp,G
Stars,Derek Roy,C
Stars,Ray Whitney,C
Stars,Derek Roy,C
Stars,Cristopher Nilstorp,G
Stars,Kari Lehtonen,G
Stars,Aaron Rome,D
Stars,Trevor Daley,D
Stars,Trevor Daley,D
Stars,Kari Lehtonen,G
Stars,Ray Whitney,C
Stars,Ryan Garbutt,C
Stars,Aaron Rome,C
Stars,Ryan Garbutt,C
Stars,Aaron Rome,RW
Stars,Rich Peverley,C
Stars,Kari Lehtonen,G
Stars,Aaron Rome,LW
Stars,Kari Lehtonen,G
