sf,reg,team
DAL,Dallas,Stars
BUF,Buffalo,Sabres
NJD,New Jersey,Devils
EDM,Edmonton,Oilers
ANA,Anaheim,Ducks
ATL,Atlanta,Thrashers
CGY,Calgary,Flames
BOS,Boston,Bruins
CAR,Carolina,Hurricanes
CHI,Chicago,Blackhawks
CBJ,Columbus,Blue Jackets
COL,Colorado,Avalanche
DET,Detroit,Red Wings
FLA,Florida,Panthers
LAK,Los Angeles,Kings
MIN,Minnesota,Wild
MTL,Montreal,Canadiens
NSH,Nashville,Predators
NYI,New York,Islanders
NYR,New York,Rangers
OAK,Oakland,Seals
OTT,Ottawa,Senators
PHI,Philadelphia,Flyers
PHX,Phoenix,Coyotes
PIT,Pittsburgh,Penguins
SJS,San Jose,Sharks
STL,St. Louis,Blues
WPG,Winnipeg,Jets
TBL,Tampa Bay,Lightning
TOR,Toronto,Maple Leafs
VAN,Vancouver,Canucks
WSH,Washington,Capitals
